i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,False,Are Portuguese Podengo and Russo-European Laika the same breed of dog?,"No, they are not the same breed of dog. According to the documents, the Portuguese Podengo is an ancient multi-sensory hound breed from Portugal, while the Russo-European Laika is a breed of hunting d","[1, 2, 3, 0]",0.4375,0.4375,1.0,True,0.375,0.375,1.0,True
1,False,The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 ,"The Meadowbrook State Parkway connects to the Southern State Parkway in North Merrick. As of the 2010 census, North Merrick had a population of 12,272.","[3, 1, 2, 0]",0.25,0.125,0.5,True,0.1875,0.1875,1.0,True
2,False,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,"The socialist conferences were held with countries that were originally neutral during World War I, but according to Document 2, there were also conferences of the socialist parties of the Entente or ","[0, 1, 3, 2]",0.3,0.3,1.0,False,0.2,0.2,1.0,True
3,False,What was the name of a land where Maria Anna of Spain's husband was king?,"According to Document 1, Maria Anna of Spain's husband, Ferdinand III, was King of Hungary and Bohemia, among other titles. Therefore, two lands where he was king were Hungary and Bohemia, and also Cr","[0, 2, 3, 1]",0.2857,0.2857,1.0,False,0.2857142857142857,0.2857142857142857,1.0,True
4,False,which nuclear reservation in the United States  did  the U.S. Atomic Energy Commission acquired Meyers Mill  as part of ,"The Savannah River Plant, which is now known as the Savannah River Site (SRS), is the nuclear reservation in the United States where the U.S. Atomic Energy Commission acquired Meyers Mill as part of.","[3, 2, 1, 0]",0.2105,0.1053,0.5,True,0.2105263157894736,0.0526315789473684,0.25,True
5,False,Who wrote the TV serial in which Rosemary Martin played Marjorie ?,"The TV serial in which Rosemary Martin played Marjorie is ""Pennies from Heaven"", and it was written by Dennis Potter.","[1, 0, 2, 3]",0.1333,0.1333,1.0,True,0.2,0.1333333333333333,0.6666666666666666,True
6,False,"Telescope Hill is near the hamlet that is in what Suffolk County, New York town?","Telescope Hill is near the hamlet of Selden, which is in the Town of Brookhaven, in Suffolk County, New York.","[2, 0, 1, 3]",0.2727,0.2727,1.0,True,0.2727272727272727,0.1818181818181818,0.6666666666666666,True
7,False,Ivan Simson was under the command of the officer who was most noted for a defeat at what WWII battle?,"Ivan Simson was under the command of Lieutenant-General Arthur Ernest Percival, who is most noted for his defeat in the Battle of Singapore.","[3, 0, 2, 1]",0.3333,0.1667,0.5,True,0.1666666666666666,0.1666666666666666,1.0,True
8,False,"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?","N.P. Dodge Memorial Park, also known as Dodge Park, is located at 11001 John J. Pershing Drive in North Omaha and has a baseball field among its amenities.","[3, 2, 1, 0]",0.1875,0.125,0.6667,False,0.125,0.125,1.0,True
9,False,Why does the City of Boston get their christmas tree from Ainslee Glen Nova Scotia?,"The City of Boston gets their Christmas tree from Nova Scotia, not specifically from Ainslie Glen, as a gift from the people of Nova Scotia in thanks for their assistance after the 1917 Halifax Explos","[0, 1, 3, 2]",0.2778,0.1667,0.6,False,0.1666666666666666,0.1111111111111111,0.6666666666666666,True
